0;1;2;Klasifikasi;Kelas
2.0;2.0;2.0;TIPE1;TIPE1
2.0;2.0;2.0;TIPE2;TIPE2
0.4480184754795918;0.4480184754795918;0.4480184754795918;TIPE3;TIPE3
0.5224077499274828;0.5224077499274828;0.5224077499274828;TIPE3;TIPE3
0.6666666666666666;0.6666666666666666;0.6666666666666666;TIPE6;TIPE4
2.0;2.0;2.0;TIPE5;TIPE5
0.5224077499274828;0.5224077499274828;0.5224077499274828;TIPE1;TIPE5
2.0;2.0;2.0;TIPE6;TIPE6
2.0;2.0;2.0;TIPE1;TIPE1
2.0;2.0;2.0;TIPE1;TIPE1
0.4480184754795918;0.4480184754795918;0.4480184754795918;TIPE3;TIPE3
0.5224077499274828;0.5224077499274828;0.5224077499274828;TIPE3;TIPE3
0.6666666666666666;0.6666666666666666;0.6666666666666666;TIPE6;TIPE4
0.6666666666666666;0.6666666666666666;0.6666666666666666;TIPE3;TIPE6
0.5224077499274828;0.5224077499274828;0.5224077499274828;TIPE3;TIPE4
1.3333333333333333;1.3333333333333333;0.5224077499274828;TIPE5;TIPE5
2.0;2.0;2.0;TIPE5;TIPE5
2.0;2.0;2.0;TIPE5;TIPE5
2.0;2.0;2.0;TIPE5;TIPE5
0.5224077499274828;0.5224077499274828;0.5224077499274828;TIPE1;TIPE5
2.0;2.0;2.0;TIPE6;TIPE6
2.0;2.0;2.0;TIPE1;TIPE1
2.0;2.0;2.0;TIPE1;TIPE1
2.0;2.0;2.0;TIPE1;TIPE1
2.0;2.0;2.0;TIPE5;TIPE5
0.4480184754795918;0.4480184754795918;0.4480184754795918;TIPE3;TIPE3
0.5224077499274828;0.5224077499274828;0.5224077499274828;TIPE3;TIPE3
0.6666666666666666;0.6666666666666666;0.6666666666666666;TIPE6;TIPE4
0.6666666666666666;0.6666666666666666;0.6666666666666666;TIPE3;TIPE6
0.5224077499274828;0.5224077499274828;0.5224077499274828;TIPE3;TIPE4
Akurasi: 70.0

